Date,Alex,Andrea
3/27/2019,"Chicken, Pig","Chicken, Pig"
3/28/2019,"Gilt-head sea bream, Lamb","Gilt-head sea bream, Lamb, Chicken"
3/29/2019,"Chicken, Pig, Cow",Lamb
3/30/2019,"Chicken, Shrimp","Chicken, Shrimp"
3/31/2019,Chicken,VEG
4/1/2019,Chicken,Turkey
4/2/2019,"Chicken, Turkey","Chicken, Shrimp"
4/3/2019,"Turkey, Salmon","Chicken, Salmon"
4/4/2019,"Pig, Chicken, Albacore, Yellowtail, Yellowfin Tuna, Albacore Tuna, Eel, Salmon","Chicken, Albacore, Yellowtail, Yellowfin Tuna, Albacore Tuna, Eel, Salmon"
4/5/2019,"Pig, Chicken","Pig, Chicken, Turkey, Salmon"
4/6/2019,"Chicken, Shrimp, Pig, Cow","Rockfish, Shrimp, Pig"
4/7/2019,"Chicken, Cow, Anchovy","Chicken, Cow, Anchovy"
4/8/2019,Chicken,Chicken
4/9/2019,"Big Eye Tuna, Fluke, Albacore, Blue Crab, Salmon, Yellowtail, Eel, Toro (NEED SPECIFIC SPECIES FOR SUGARFISH), Pig, Cow, Squid, Branzino","Big Eye Tuna, Fluke, Albacore, Blue Crab, Salmon, Yellowtail, Eel, Toro (NEED SPECIFIC SPECIES FOR SUGARFISH), Pig, Cow, Squid, Branzino"
4/10/2019,Pig,Chicken
4/11/2019,,
4/12/2019,,
4/13/2019,,
4/14/2019,,
4/15/2019,,
4/16/2019,,
4/17/2019,,
4/18/2019,,
4/19/2019,,
4/20/2019,,
4/21/2019,,
4/22/2019,,
4/23/2019,,
4/24/2019,,
4/25/2019,,